"family","language","dialect","source","primarySource","poa1","poa2","vot.category","vot","voiceContrast","notes"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","dental","coronal","short.lag",16,"yes","noise offset time"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","retroflex","coronal","short.lag",11,"yes","noise offset time"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","velar","dorsal","short.lag",27,"yes","noise offset time"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"velar","dorsal","short.lag",30,"yes","NA"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"dental","coronal","short.lag",17,"yes","NA"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"retroflex","coronal","short.lag",12,"yes","NA"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","bilabial","labial","short.lag",9,"yes","noise offset time"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","dental","coronal","short.lag",10,"yes","noise offset time"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","retroflex","coronal","short.lag",8,"yes","noise offset time"
"Indo-European","Marathi",NA,"Berkson2012","Berkson2012","velar","dorsal","short.lag",21,"yes","noise offset time"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"labial","labial","short.lag",11,"yes","lag VOT"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"dental","coronal","short.lag",14,"yes","lag VOT"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"retroflex","coronal","short.lag",9,"yes","lag VOT"
"Indo-European","Marathi",NA,"PatilRao2016",NA,"velar","dorsal","short.lag",36,"yes","lag VOT"
"Oto-Manguean","Mazatec (Jalapa)",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","long.lag",63,"yes","NA"
"Oto-Manguean","Mazatec (Jalapa)",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","long.lag",80,"yes","NA"
"Oto-Manguean","Mazatec (Jalapa)",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","short.lag",11,"yes","NA"
"Oto-Manguean","Mazatec (Jalapa)",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","short.lag",23,"yes","NA"
"Salishan","Montana Salish",NA,"ChoLadefoged1999","ChoLadefoged1999","bilabial","labial","long.lag",22,"no","NA"
"Salishan","Montana Salish",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","long.lag",24,"no","NA"
"Salishan","Montana Salish",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","long.lag",48,"no","NA"
"Salishan","Montana Salish",NA,"ChoLadefoged1999","ChoLadefoged1999","uvular","dorsal","long.lag",55,"no","NA"
"Salishan","Montana Salish",NA,"Gallagher2010","FlemmingEtAl2008","bilabial","labial","long.lag",20,"no","NA"
"Salishan","Montana Salish",NA,"Gallagher2010","FlemmingEtAl2008","alveolar","coronal","long.lag",25,"no","NA"
"Salishan","Montana Salish",NA,"Gallagher2010","FlemmingEtAl2008","velar","dorsal","long.lag",45,"no","NA"
"Salishan","Montana Salish",NA,"Gallagher2010","FlemmingEtAl2008","uvular","dorsal","long.lag",55,"no","NA"
"Mayan","Mopan Maya",NA,"BurnettDeas2009",NA,NA,"labial","long.lag",73,"no","word.initial"
"Mayan","Mopan Maya",NA,"BurnettDeas2009",NA,NA,"coronal","long.lag",34,"no","word.initial"
"Mayan","Mopan Maya",NA,"BurnettDeas2009",NA,NA,"dorsal","long.lag",50,"no","word.initial"
"Kordofanian","Moro",NA,"BennettRose",NA,"labial","labial","lead",-78.25,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"dental","coronal","lead",-81.91,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"alveolar","coronal","lead",-78.92,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"velar","dorsal","lead",-81.71,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"labial","labial","short.lag",20.45,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"dental","coronal","short.lag",16.59,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"alveolar","coronal","short.lag",18.03,"yes","NA"
"Kordofanian","Moro",NA,"BennettRose",NA,"velar","dorsal","short.lag",39.75,"yes","NA"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"bilabial","labial","lead",-109,"yes","NA"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"coronal","coronal","lead",-105,"yes","NA"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"bilabial","labial","short.lag",10.7,"yes","VN+CV"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"bilabial","labial","short.lag",11.8,"yes","VCV"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"bilabial","labial","short.lag",12.6,"yes","VC+V"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"bilabial","labial","short.lag",12.8,"yes","VC1+C1V"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"coronal","coronal","short.lag",13,"yes","VN+CV"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"coronal","coronal","short.lag",17.2,"yes","VCV"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"coronal","coronal","short.lag",17.2,"yes","VC+V"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"coronal","coronal","short.lag",13.2,"yes","VC1+C1V"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"dorsal","dorsal","short.lag",36.9,"yes","VN+CV"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"dorsal","dorsal","short.lag",39.2,"yes","VCV"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"dorsal","dorsal","short.lag",30.9,"yes","VC+V"
"Tupian","Munduruku",NA,"PicancoEtAl2005",NA,"dorsal","dorsal","short.lag",36.9,"yes","VC1+C1V"
"Afro-Asiatic","Musey",NA,"Shyrock1995",NA,"bilabial","labial","short.lag",24,"yes","NA"
"Afro-Asiatic","Musey",NA,"Shyrock1995",NA,"alveolar","coronal","short.lag",22,"yes","NA"
"Afro-Asiatic","Musey",NA,"Shyrock1995",NA,"velar","dorsal","short.lag",39,"yes","NA"
"Afro-Asiatic","Musey",NA,"Shyrock1995",NA,"bilabial","labial","short.lag",17,"yes","NA"
"Afro-Asiatic","Musey",NA,"Shyrock1995",NA,"alveolar","coronal","short.lag",15,"yes","NA"
"Afro-Asiatic","Musey",NA,"Shyrock1995",NA,"velar","dorsal","short.lag",24,"yes","NA"
"Na-Dene","Navajo",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","long.lag",130,"yes","NA"
"Na-Dene","Navajo",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","long.lag",154,"yes","NA"
"Na-Dene","Navajo",NA,"ChoLadefoged1999","ChoLadefoged1999","bilabial","labial","short.lag",12,"yes","NA"
"Na-Dene","Navajo",NA,"ChoLadefoged1999","ChoLadefoged1999","alveolar","coronal","short.lag",6,"yes","NA"
"Na-Dene","Navajo",NA,"ChoLadefoged1999","ChoLadefoged1999","velar","dorsal","short.lag",45,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","dental","coronal","long.lag",59.31,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","bilabial","labial","long.lag",69.43,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","velar","dorsal","long.lag",83.56,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","bilabial","labial","short.lag",5.99,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","dental","coronal","short.lag",10.97,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","velar","dorsal","short.lag",26.79,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","bilabial","labial","lead",-78.51,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","velar","dorsal","lead",-67.55,"yes","NA"
"Indo-European","Nepali",NA,"PoonMateer","PoonMateer","dental","coronal","lead",-84.21,"yes","NA"
"Indo-European","Norwegian","Bergen-Trondheim-Eastern (avg)","Allen2016","Halvorsen1998","labial","labial","long.lag",56,"yes","NA"
"Indo-European","Norwegian","Bergen-Trondheim-Eastern (avg)","Allen2016","Halvorsen1998","alveolar","coronal","long.lag",64,"yes","NA"
"Indo-European","Norwegian","Bergen-Trondheim-Eastern (avg)","Allen2016","Halvorsen1998","velar","dorsal","long.lag",74,"yes","NA"
"Indo-European","Norwegian","Bergen-Trondheim-Eastern (avg)","Allen2016","Halvorsen1998","labial","labial","short.lag",9,"yes","NA"
"Indo-European","Norwegian","Bergen-Trondheim-Eastern (avg)","Allen2016","Halvorsen1998","alveolar","coronal","short.lag",12,"yes","NA"
"Indo-European","Norwegian","Bergen-Trondheim-Eastern (avg)","Allen2016","Halvorsen1998","velar","dorsal","short.lag",24,"yes","NA"
"Indo-European","Norwegian",NA,"Allen2016",NA,"labial","labial","long.lag",56.11,"yes","NA"
"Indo-European","Norwegian",NA,"Allen2016",NA,"alveolar","coronal","long.lag",62.28,"yes","NA"
"Indo-European","Norwegian",NA,"Allen2016",NA,"velar","dorsal","long.lag",70.45,"yes","NA"
"Indo-European","Norwegian",NA,"Dubyne2014","Dubyne2014",NA,"labial","long.lag",72,"yes","NA"
"Indo-European","Norwegian",NA,"Dubyne2014","Dubyne2014",NA,"coronal","long.lag",82,"yes","NA"
"Indo-European","Norwegian",NA,"Dubyne2014","Dubyne2014",NA,"dorsal","long.lag",73,"yes","NA"
"Indo-European","Norwegian",NA,"Allen2016",NA,"alveolar","coronal","short.lag",26.6,"yes","NA"
"Indo-European","Norwegian",NA,"Dubyne2014","Dubyne2014",NA,"labial","short.lag",16,"yes","NA"
"Indo-European","Norwegian",NA,"Dubyne2014","Dubyne2014",NA,"coronal","short.lag",11,"yes","NA"
"Indo-European","Norwegian",NA,"Allen2016",NA,"velar","dorsal","short.lag",27.33,"yes","NA"
"Indo-European","Norwegian",NA,"Dubyne2014","Dubyne2014",NA,"dorsal","short.lag",20,"yes","NA"
"Indo-European","Norwegian",NA,"Allen2016",NA,"labial","labial","short.lag",13.22,"yes","NA"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",6.7,"yes","S1"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",0.95,"yes","S2"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",1,"yes","S3"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",0,"yes","S4"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",1,"yes","S5"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",0.55,"yes","S6"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",16.9,"yes","S1"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",11.4,"yes","S2"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",21.9,"yes","S3"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",21.9,"yes","S4"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",17.7,"yes","S5"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",10.3,"yes","S6"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",10.5,"yes","S1"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",2.6,"yes","S2"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",1,"yes","S3"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",0.6,"yes","S4"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",1.2,"yes","S5"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",0.75,"yes","S6"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",12.9,"yes","S1"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",18.2,"yes","S2"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",25.7,"yes","S3"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",24.3,"yes","S4"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",8.3,"yes","S5"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"labial","short.lag",5.5,"yes","S6"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",18,"yes","S1"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",26.3,"yes","S2"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",30,"yes","S3"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",24.8,"yes","S4"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",20.2,"yes","S5"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"coronal","short.lag",13.7,"yes","S6"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",28.8,"yes","S1"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",47.4,"yes","S2"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",40.6,"yes","S3"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",38.9,"yes","S4"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",16.2,"yes","S5"
"Algic","Ojibwe","Salteaux","Tallman2011",NA,NA,"dorsal","short.lag",22.3,"yes","S6"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","dental","coronal","long.lag",53,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","bilabial","labial","long.lag",66,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","velar","dorsal","long.lag",77,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","alveolar","coronal","long.lag",66,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","bilabial","labial","short.lag",19,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","velar","dorsal","short.lag",27,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","alveolar","coronal","short.lag",16,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","dental","coronal","short.lag",18,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","alveolar","coronal","lead",-95,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","dental","coronal","lead",-108,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","bilabial","labial","lead",-94,"yes","NA"
"Indo-European","Pahari",NA,"KhanBukhari","KhanBukhari","velar","dorsal","lead",-109,"yes","NA"
"Uto-Aztecan","Paiute (Northern)",NA,"Haynes2010",NA,NA,"labial","short.lag",16.25,"no","onset"
"Uto-Aztecan","Paiute (Northern)",NA,"Haynes2010",NA,NA,"coronal","short.lag",14.4,"no","onset"
"Uto-Aztecan","Paiute (Northern)",NA,"Haynes2010",NA,NA,"dorsal","short.lag",37.81,"no","onset"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"labial","long.lag",75,"yes","acquired in Pakistan"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"coronal","long.lag",63,"yes","acquired in Pakistan"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"dorsal","long.lag",68,"yes","acquired in Pakistan"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"labial","long.lag",80,"yes","acquired in Bradford UK, age > 22"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"coronal","long.lag",67,"yes","acquired in Bradford UK, age > 22"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"dorsal","long.lag",67,"yes","acquired in Bradford UK, age > 22"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"labial","short.lag",22,"yes","acquired in Pakisan"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"coronal","short.lag",25,"yes","acquired in Pakisan"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"dorsal","short.lag",38,"yes","acquired in Pakisan"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"labial","short.lag",27,"yes","acquired in Bradford UK, age > 22"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"coronal","short.lag",21,"yes","acquired in Bradford UK, age > 22"
"Indo-European","Panjabi",NA,"HeselwoodMcChrystal",NA,NA,"dorsal","short.lag",35,"yes","acquired in Bradford UK, age > 22"
"Indo-European","Pashto","Khyber Pakhtoonkhaw province","Syed2013",NA,"bilabial","labial","short.lag",14.94,"yes","word.initial"
"Indo-European","Pashto","Khyber Pakhtoonkhaw province","Syed2013",NA,"dental","coronal","short.lag",28.25,"yes","word.initial"
"Indo-European","Pashto","Khyber Pakhtoonkhaw province","Syed2013",NA,"retroflex","coronal","short.lag",13.83,"yes","word.initial"
"Indo-European","Pashto","Khyber Pakhtoonkhaw province","Syed2013",NA,NA,"dorsal","short.lag",33.58,"yes","word.initial"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"bilabial","labial","lead",-34.2,"yes","*they present both positive and negative values for the voiced stops -- only took the negatives, but I can go back in and change this?"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"coronal","coronal","lead",-42.8,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"palatal","dorsal","lead",-56.3,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"velar","dorsal","lead",-39.6,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"uvular","dorsal","lead",-14.7,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"bilabial","labial","long.lag",68.7,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"coronal","coronal","long.lag",79.5,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"palatal","dorsal","long.lag",97.8,"yes","NA"
"Indo-European","Persian",NA,"Bijankhan2009",NA,"velar","dorsal","long.lag",92.1,"yes","NA"
"Indo-European","Persian",NA,"Zirak","Zirak",NA,"labial","long.lag",67.54,"yes","NA"
"Indo-European","Persian",NA,"Zirak","Zirak",NA,"coronal","long.lag",77.29,"yes","NA"
"Indo-European","Persian",NA,"Zirak","Zirak",NA,"dorsal","long.lag",95.12,"yes","NA"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"labial","long.lag",66,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"coronal","long.lag",69,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"dorsal","long.lag",81,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"labial","long.lag",45,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"coronal","long.lag",48,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"dorsal","long.lag",66,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"labial","short.lag",7,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"coronal","short.lag",5,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"dorsal","short.lag",13,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"labial","short.lag",9,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"coronal","short.lag",12,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"dorsal","short.lag",26,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"labial","lead",-129,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"coronal","lead",-103,"yes","speaker1"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"labial","lead",-88,"yes","speaker2"
"Austro-Asiatic","Pnar",NA,"Ring2015","Ring2015",NA,"coronal","lead",-69,"yes","speaker2"
"Indo-European","Polish",NA,"Knoll2015","Kopczynski1977",NA,"labial","lead",-78,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Keating1980",NA,"labial","lead",-88.2,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Kopczynski1977",NA,"coronal","lead",-72,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Keating1980",NA,"coronal","lead",-89.9,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Kopczynski1977",NA,"dorsal","lead",-61,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Keating1980",NA,"dorsal","lead",-66.1,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Kopczynski1977",NA,"labial","short.lag",37.5,"yes","NA"
"Indo-European","Polish",NA,"Kozminska2015","Keating1981",NA,"dorsal","short.lag",53,"yes","NA"
"Indo-European","Polish",NA,"Knoll2015","Keating1980",NA,"labial","short.lag",21.5,"yes","NA"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"labial","short.lag",27.63,"yes","bilingual English"
"Indo-European","Polish",NA,"Knoll2015","Kopczynski1977",NA,"coronal","short.lag",33,"yes","NA"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"coronal","short.lag",23.13,"yes","monolingual"
"Indo-European","Polish",NA,"Knoll2015","Keating1980",NA,"coronal","short.lag",27.9,"yes","NA"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"coronal","short.lag",34.8,"yes","bilingual English code switch"
"Indo-European","Polish",NA,"Knoll2015","Kopczynski1977",NA,"dorsal","short.lag",49,"yes","NA"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"dorsal","short.lag",54.93,"yes","bilingual English"
"Indo-European","Polish",NA,"Knoll2015","Keating1980",NA,"dorsal","short.lag",52.7,"yes","NA"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"labial","short.lag",18.23,"yes","monolingual"
"Indo-European","Polish",NA,"Kozminska2015","Keating1981",NA,"labial","short.lag",22,"yes","NA"
"Indo-European","Polish",NA,"Kozminska2015","Keating1981",NA,"coronal","short.lag",28,"yes","NA"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"coronal","short.lag",27.73,"yes","bilingual English"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"labial","short.lag",34.67,"yes","bilingual English code switch"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"dorsal","short.lag",1.6,"yes","bilingual English code switch"
"Indo-European","Polish",NA,"SchwartzEtAl2015",NA,NA,"dorsal","short.lag",37.3,"yes","monolingual"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","GewehrBorellaEtAl2011",NA,"labial","lead",16.6,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","Istre1980",NA,"coronal","lead",18,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","GewehrBorellaEtAl2011",NA,"coronal","lead",23.96,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","Istre1980",NA,"dorsal","lead",38,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","BehlauEtAl1988",NA,"dorsal","lead",43.73,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","BehlauEtAl1988",NA,"coronal","lead",14.85,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"MeloEtAl2014",NA,NA,"labial","lead",-96.86,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"MeloEtAl2014",NA,NA,"coronal","lead",-102.5,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"MeloEtAl2014",NA,NA,"dorsal","lead",-81.4,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","GewehrBorellaEtAl2011",NA,"dorsal","lead",37,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","Istre1980",NA,"labial","lead",12,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"BandeiraEtAl2012","BehlauEtAl1988",NA,"labial","lead",10.37,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"Melo2011",NA,NA,"labial","lead",15.7,"yes","word.initial,adults"
"Indo-European","Portuguese (Brazilian)",NA,"Melo2011",NA,NA,"coronal","lead",19.8,"yes","word.initial,adults"
"Indo-European","Portuguese (Brazilian)",NA,"Melo2011",NA,NA,"dorsal","lead",45.4,"yes","word.initial,adults"
"Indo-European","Portuguese (Brazilian)",NA,"Melo2011",NA,NA,"labial","lead",-101.9,"yes","word.initial,adults"
"Indo-European","Portuguese (Brazilian)",NA,"Melo2011",NA,NA,"coronal","lead",-95.6,"yes","word.initial,adults"
"Indo-European","Portuguese (Brazilian)",NA,"Melo2011",NA,NA,"dorsal","lead",-80.4,"yes","word.initial,adults"
"Indo-European","Portuguese (Brazilian)",NA,"AlvesZimmer2015",NA,NA,"labial","short.lag",24.13,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"AlvesZimmer2015",NA,NA,"labial","short.lag",33,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"AlvesZimmer2015",NA,NA,"dorsal","short.lag",55.71,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"AlvesZimmer2015",NA,NA,"dorsal","short.lag",51.7,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"MeloEtAl2014",NA,NA,"coronal","short.lag",18.85,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"MeloEtAl2014",NA,NA,"dorsal","short.lag",44.67,"yes","NA"
"Indo-European","Portuguese (Brazilian)",NA,"MeloEtAl2014",NA,NA,"labial","short.lag",14.5,"yes","NA"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"labial","lead",28,"yes","NA"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"coronal","lead",16,"yes","NA"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"coronal","lead",-89,"yes","negative"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"labial","lead",-114,"yes","negative"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"dorsal","lead",17,"yes","NA"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"dorsal","lead",-73,"yes","negative"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"labial","short.lag",20,"yes","positive"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"dorsal","short.lag",51,"yes","positive"
"Indo-European","Portuguese (European)",NA,"Lousada2010","Lousada2010",NA,"coronal","short.lag",28,"yes","positive"
